# tau_fs It_norm phiet_rel_rad
-3.3397728000e+01 6.3304889373e-03 -1.2489496237e+00
-3.1012176000e+01 1.1706043943e-02 -8.8528359671e-01
-2.8626624000e+01 2.3110720071e-02 -6.4201903579e-01
-2.6241072000e+01 4.3614325275e-02 -4.8250444039e-01
-2.3855520000e+01 7.6685603221e-02 -3.7324324818e-01
-2.1469968000e+01 1.2579694148e-01 -2.9438741290e-01
-1.9084416000e+01 1.9380220617e-01 -2.3475604601e-01
-1.6698864000e+01 2.8210324343e-01 -1.8781623469e-01
-1.4313312000e+01 3.8971242635e-01 -1.4953184117e-01
-1.1927760000e+01 5.1243474231e-01 -1.1727442374e-01
-9.5422080000e+00 6.4248535365e-01 -8.9263315096e-02
-7.1566560000e+00 7.6885947876e-01 -6.4265279428e-02
-4.7711040000e+00 8.7862690839e-01 -4.1421637479e-02
-2.3855520000e+00 9.5903876972e-01 -2.0137429183e-02
0.0000000000e+00 1.0000000000e+00 0.0000000000e+00
2.3855520000e+00 9.9622959060e-01 1.9288995259e-02
4.7711040000e+00 9.4843928284e-01 3.7975680895e-02
7.1566560000e+00 8.6314454854e-01 5.6313471454e-02
9.5422080000e+00 7.5117371255e-01 7.4621683077e-02
1.1927760000e+01 6.2536399353e-01 9.3345067241e-02
1.4313312000e+01 4.9814484531e-01 1.1311801745e-01
1.6698864000e+01 3.7964078469e-01 1.3484157661e-01
1.9084416000e+01 2.7664808632e-01 1.5978975827e-01
2.1469968000e+01 1.9250440322e-01 1.8977712773e-01
2.3855520000e+01 1.2761978189e-01 2.2744780372e-01
2.6241072000e+01 8.0338696207e-02 2.7679719308e-01
2.8626624000e+01 4.7839085216e-02 3.4412414194e-01
3.1012176000e+01 2.6881988667e-02 4.3970745077e-01
3.3397728000e+01 1.4338636140e-02 5.8027562544e-01
3.5783280000e+01 7.5016488055e-03 7.8987184367e-01
3.8168832000e+01 4.2247982676e-03 1.0864336000e+00
4.0554384000e+01 2.9425393590e-03 1.4371681434e+00
4.2939936000e+01 2.6128231449e-03 1.7503910338e+00
4.5325488000e+01 2.6168831667e-03 1.9705088677e+00
4.7711040000e+01 2.6426642957e-03 2.1067203269e+00
5.0096592000e+01 2.5734190077e-03 2.1861057282e+00
5.2482144000e+01 2.3970106557e-03 2.2309576506e+00
5.4867696000e+01 2.1435296761e-03 2.2572177589e+00
5.7253248000e+01 1.8504472564e-03 2.2766207654e+00
5.9638800000e+01 1.5484161840e-03 2.2981210401e+00
6.2024352000e+01 1.2587392378e-03 2.3284857956e+00
6.4409904000e+01 9.9511722898e-04 2.3725146987e+00
6.6795456000e+01 7.6562226920e-04 2.4331831855e+00
6.9181008000e+01 5.7381804519e-04 2.5118093193e+00
7.1566560000e+01 4.1946443595e-04 2.6082634581e+00
7.3952112000e+01 2.9939685086e-04 2.7212567598e+00
7.6337664000e+01 2.0870281780e-04 2.8487710703e+00
7.8723216000e+01 1.4191790717e-04 2.9886548953e+00
